ticker,name,sector,market_cap,price,pe_trailing,pe_forward,pb,ps,ev_ebitda,peg,fcf_yield,roe,roa,gross_margin,operating_margin,profit_margin,debt_to_equity,current_ratio,revenue_growth,earnings_growth,dividend_yield,held_by_insiders,short_ratio,valuation_score,quality_score,growth_score,composite_score
AG.TO,FIRST MAJESTIC SILVER CORP,Basic Materials,13860111360,28.07,34.65432,18.334421,3.6498992,9.302818,16.861,0.3,0.046766987015030737,0.11452,0.07976,0.59734,0.49506,0.19514999,9.466,2.728,0.954,50.687,0.17,0.01089,2.88,0.3611074817507565,0.6387188620304088,0.954356846473029,0.5472588695569758
TD.TO,TORONTO-DOMINION BANK,Financial Services,248665915392,148.3,12.008097,14.245589,2.0241313,3.7688076,,0.91,0.0,0.17815,0.01039,0.0,0.35887,0.33021998,,,0.211,0.513,2.91,0.00044,4.32,0.615919582907887,0.39300987884865884,0.6437809938265358,0.5420803981249545
LUN.TO,LUNDIN MINING CORP.,Basic Materials,33069342720,38.65,20.235603,20.607325,3.6520958,7.704161,18.305,0.93,0.05363224153007901,0.2218,0.084180005,0.52393,0.43476,0.3355,6.216,1.805,0.26,1.282,0.28,0.20879999,2.1,0.3614202785352883,0.7057440260054638,0.7540431130452383,0.5408270153263423
SJ.TO,STELLA JONES INC,Basic Materials,3979342592,72.94,13.213769,11.437192,1.8958259,1.1337157,10.429,,0.11619381777521506,0.14840001,0.06797,0.19715,0.11630999,0.086610004,80.705,4.957,0.023,-0.342,1.86,0.00176,4.69,0.702176843510177,0.46057970513308205,0.18387308976824207,0.5398722820169035
SU.TO,SUNCOR ENERGY INC.,Energy,110978236416,93.99,17.86882,12.722928,2.4860475,2.1732314,7.859,11.41,0.06015481081331658,0.1397,0.05945,0.58785,0.20848,0.12394,32.358,1.417,0.175,0.299,2.55,0.00014999999,6.16,0.5127725692832906,0.5617283950617283,0.5760752960226698,0.5394025173166507
FCR-UN.TO,FIRST CAPITAL REIT UNITS,Real Estate,4927025152,23.18,4.5992064,17.17037,1.0124481,6.8155537,23.625,1.78,0.03799077500629735,0.23775,0.025729999,0.62373,0.52155995,1.48266,82.295,0.659,0.047,0.103,3.88,0.00467,1.24,0.4952602456257427,0.673121923666586,0.35731201295415443,0.5368195980392996
ANET.NE,ARISTA NETWORKS CDR (CAD HEDGED,Technology,247815405568,25.78,54.851067,,1.9785115,29.333008,5.473,,0.013189688480053356,0.31736,0.14658,0.64343,0.42378,0.3973,,3.254,0.275,0.155,,,0.02,0.3796574352129908,0.7369309863863241,0.5832557433458152,0.5352429243435811
ASML.NE,ASML CDR (CAD HEDGED),Technology,823019438080,42.18,49.046513,,0.86009663,25.550087,0.702,,0.01132447451999796,0.53852004,0.16155,0.52711,0.32841998,0.29378,14.24,1.308,0.007,0.038,0.51,,,0.5012790568346124,0.6908104805708293,0.2748304827446615,0.5336477690287956
RUS.TO,RUSSEL METALS,Industrials,3195314944,58.19,16.345505,15.660996,2.016495,0.6539468,11.524,0.53,0.03345523113479984,0.11986,0.05448,0.21131,0.04393,0.04044,29.499,2.857,0.209,0.733,3.02,0.0086199995,7.03,0.6538228210109301,0.3019792279051538,0.6612185001518065,0.5317869152950399
AAV.TO,ADVANTAGE ENERGY LTD,Energy,1686095232,10.05,15.461539,7.760618,0.9770562,2.6468773,5.842,,-0.08146863201615412,0.0656,0.043270003,0.5695,0.28653,0.1752,53.62,0.38,-0.044,,,0.01344,3.21,0.7637564230897563,0.37745674401447826,0.1078838174273859,0.5301706445640535
